Day,Section,NumOfAds
Monday,News,11
Monday,News,8
Monday,News,6
Monday,News,8
Tuesday,News,9
Tuesday,News,10
Tuesday,News,10
Tuesday,News,12
Wednesday,News,8
Wednesday,News,9
Wednesday,News,9
Wednesday,News,11
Thrusday,News,4
Thrusday,News,5
Thrusday,News,3
Thrusday,News,5
Friday,News,13
Friday,News,12
Friday,News,11
Friday,News,14
Monday,Business,10
Monday,Business,12
Monday,Business,13
Monday,Business,11
Tuesday,Business,7
Tuesday,Business,8
Tuesday,Business,11
Tuesday,Business,9
Wednesday,Business,7
Wednesday,Business,8
Wednesday,Business,10
Wednesday,Business,9
Thrusday,Business,9
Thrusday,Business,6
Thrusday,Business,8
Thrusday,Business,8
Friday,Business,10
Friday,Business,9
Friday,Business,9
Friday,Business,8
Monday,Sports,4
Monday,Sports,3
Monday,Sports,5
Monday,Sports,6
Tuesday,Sports,5
Tuesday,Sports,8
Tuesday,Sports,6
Tuesday,Sports,7
Wednesday,Sports,5
Wednesday,Sports,9
Wednesday,Sports,7
Wednesday,Sports,6
Thrusday,Sports,7
Thrusday,Sports,6
Thrusday,Sports,6
Thrusday,Sports,5
Friday,Sports,12
Friday,Sports,10
Friday,Sports,11
Friday,Sports,12
